RJ2,Lewisham and Greenwich NHS Trust,,,,,,"173,625","137,765","71,420","102,200",*,"59,920","39,810","11,430","26,600",57,26,4,1,48,"14,670","5,630","3,445","2,695",630,640,670,785,"1,000","6,410","9,940","12,100","10,440","7,075","7,065","9,015","11,465","9,465","9,690","11,000","11,225","11,080","9,280","7,075","46,575","358,605","22,525",590,"9,280",,,
RY5,Lincolnshire Community Health Services NHS Trust,,,,,,705,705,180,525,0,45,0,500,160,,,20,14,70,0,0,0,0,0,*,0,0,0,10,20,15,15,10,*,20,35,50,110,90,140,75,70,45,440,"5,415",*,*,*,,,
RP7,Lincolnshire Partnership NHS Foundation Trust,,,,,,"1,285","1,010",735,550,*,825,45,45,100,5,5,80,31,46,0,0,0,10,10,10,20,15,25,110,120,110,120,100,100,80,90,45,80,65,70,40,35,10,0,"82,415",10,0,*,,,
NXP40,Litfield House Medical Centre,,,,,,10,10,*,*,0,0,10,0,0,,,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,0,*,0,0,*,*,0,0,10,*,0,0,0,,,
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,,,,,,"14,770","13,435","9,595","5,175",0,"2,950","7,260","1,245","1,980",38,27,6,3,64,0,0,0,*,0,*,30,40,50,235,275,305,280,380,715,"1,060","1,570","1,740","2,010","2,295","1,990","1,170",465,135,"4,280","52,685",570,260,605,,,
REP,Liverpool Women's NHS Foundation Trust,,,,,,"42,720","42,600","4,420","38,300",*,"1,560","8,485","1,705","30,850",28,18,2,1,25,"8,520",0,0,*,30,85,245,450,710,"5,105","8,035","7,945","4,305","1,395",670,640,455,370,295,215,175,105,40,10,"8,385","51,660",250,320,"14,720",,,
NR501,Livewell Southwest,,,,,,"1,100","1,025",485,615,0,10,305,0,710,6,2,21,17,79,0,0,0,0,0,0,0,0,*,*,0,*,*,10,15,25,35,55,65,125,170,185,245,165,0,"21,125",*,0,*,,,
NDAJ0,Livingstone Community Hospital,,,,,,315,315,105,210,0,*,0,0,310,,,25,23,83,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,*,10,10,30,35,80,80,70,0,"8,030",0,0,*,,,
R1K,London North West University Healthcare NHS Trust,,,,,,"237,305","179,920","112,530","124,765",15,"79,480","50,325","34,630","15,490",49,22,4,1,56,"6,890","3,555","2,490","2,010",480,650,810,"1,045","1,320","8,275","11,495","13,105","12,200","10,530","11,985","13,255","21,275","15,795","15,825","18,105","19,095","19,485","15,905","10,525","74,920","427,685","32,815","2,315","5,320",,,
RC9,Luton and Dunstable University Hospital NHS Foundation Trust,,,,,,"143,115","118,535","59,935","83,170",10,"48,525","32,020","13,120","24,875",55,32,3,1,49,"9,325","4,190","2,325","2,190",495,605,665,655,810,"6,075","9,630","10,680","8,330","5,610","5,850","7,205","9,025","7,660","8,215","9,910","9,590","10,135","7,250","4,700","37,415","241,330","18,820","2,760","13,630",,,
RWF,Maidstone and Tunbridge Wells NHS Trust,,,,,,"137,050","121,295","61,370","75,645",30,"56,540","42,545","9,155","13,055",71,39,3,1,54,"8,820","1,855","1,500","1,335",325,535,645,655,725,"4,450","5,835","6,865","6,260","5,140","6,075","7,565","12,405","8,190","8,725","12,020","10,885","10,890","9,180","5,985","45,060","263,370","25,375","1,030","2,520",,,
R0A,Manchester University NHS Foundation Trust,,,,,,"380,665","315,675","174,860","205,780",25,"103,760","114,180","55,735","42,000",60,33,4,1,45,"23,600","18,785","16,045","13,340","3,110","2,465","2,025","1,865","2,265","14,410","21,410","22,640","19,270","14,275","17,420","20,495","22,825","23,900","23,600","26,170","23,055","20,270","13,795","7,690","138,145","798,990","37,735","5,445","11,620",,,
RPA,Medway NHS Foundation Trust,,,,,,"108,360","82,260","48,025","60,330",*,"39,090","23,345","8,570","11,260",69,38,4,1,52,"8,110","3,075","1,935","1,460",345,355,430,440,600,"3,620","5,520","5,230","4,660","3,650","4,525","5,575","6,350","6,880","8,035","10,250","8,510","8,025","6,390","4,065","26,185","217,445","12,585",855,"1,875",,,
RW4,Mersey Care NHS Foundation Trust,,,,,,"3,530","3,155","1,895","1,635",*,"2,145",105,580,325,3,1,40,15,45,0,0,0,0,0,0,*,30,50,255,345,310,350,315,405,325,235,155,120,95,85,55,55,*,0,"126,545",25,*,*,,,
RBT,Mid Cheshire Hospitals NHS Foundation Trust,,,,,,"96,860","82,785","42,140","54,720",*,"37,620","31,920","2,730","10,515",37,20,3,1,54,"4,945","2,145","1,070",885,250,260,365,505,620,"4,090","5,175","4,845","3,670","3,145","4,015","5,115","8,910","5,500","6,660","8,150","8,170","7,880","6,290","3,845","31,605","177,795","17,085",535,"5,160",,,
RQ8,Mid Essex Hospital Services NHS Trust,,,,,,"112,555","93,680","51,455","61,100",*,"39,070","29,850","14,930","9,835",61,33,4,1,56,"5,830","1,955","1,355","1,090",325,325,410,500,545,"3,325","4,720","5,365","4,710","3,875","4,915","6,060","6,415","7,140","8,215","11,140","9,950","10,130","7,980","5,710","37,790","210,365","11,200","1,250","1,710",,,
RXF-X,Mid Yorkshire Hospitals NHS Trust,,,,,,"199,240","157,230","86,060","113,175",0,"63,075","46,925","23,985","23,250",49,31,4,1,54,"9,775","4,335","2,935","2,460",600,675,825,"1,000","1,210","8,480","11,290","10,290","8,145","6,645","9,105","10,750","11,535","12,875","14,425","17,950","16,485","16,565","12,300","7,965","62,700","368,110","21,335","1,480","10,090",,,
NXP13,Middleport Medical Centre,,,,,,10,10,*,*,0,0,10,0,0,,,,,63,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*,*,*,0,*,*,0,0,10,0,0,0,0,,,
RRE,Midlands Partnership NHS Foundation Trust,,,,,,"7,820","7,175","3,315","4,500",*,"2,110","1,495","2,890",680,75,38,39,18,60,0,0,0,0,0,*,10,45,60,310,355,420,450,320,450,585,515,560,675,820,730,670,485,320,"3,600","150,960",40,*,*,,,
NXP43,Millstream House,,,,,,125,125,95,35,0,0,125,0,0,40,40,,,62,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,10,10,15,15,25,15,10,*,*,125,0,0,0,0,,,
RD8,Milton Keynes University Hospital NHS Foundation Trust,,,,,,"99,405","77,900","44,195","55,205",*,"38,705","20,130","11,390","7,675",64,33,3,1,53,"3,250","3,810","1,965","1,465",310,370,370,545,580,"3,475","5,100","5,665","5,075","4,250","4,845","5,650","5,885","6,155","7,530","8,720","7,635","6,740","5,600","4,075","27,675","178,550","15,335",595,"2,505",,,
RP6,Moorfields Eye Hospital NHS Foundation Trust,,,,,,"38,665","38,665","18,445","20,215",*,"2,620","36,010",25,*,54,48,1,0,63,75,435,375,295,75,100,135,90,120,670,835,905,945,"1,090","1,395","2,165","2,940","3,870","4,820","5,370","5,110","3,965","2,065",685,"34,910","2,015","2,455",465,*,,,
NR527,Mount Gould Hospital,,,,,,85,80,50,30,0,0,*,0,75,54,54,66,47,63,0,0,0,0,0,0,0,*,*,0,0,0,*,*,10,*,*,10,10,10,15,*,*,0,0,"5,295",0,0,*,,,
NVC08,Mount Stuart Hospital,,,,,,"3,800","3,800","1,525","2,275",0,0,"3,800",0,0,95,63,3,3,57,0,0,0,0,0,0,0,*,15,125,185,190,210,225,325,345,320,315,405,490,355,175,90,10,"3,060","2,095",0,0,0,,,
NVC09,New Hall Hospital,,,,,,"6,165","6,165","2,805","3,355",*,0,"6,165",0,0,180,42,3,2,58,0,0,0,0,0,0,0,*,15,145,190,280,330,430,505,600,560,595,650,770,575,340,140,35,"4,325","5,050",0,0,0,,,
ACG20,Newmedica - Bristol - Litfield House,,,,,,"1,665","1,665",690,970,0,0,0,"1,665",0,,,,,74,0,0,0,0,0,0,0,0,0,0,*,*,*,*,20,35,65,105,195,350,360,285,170,60,"1,665",0,0,0,0,,,
ACG10,Newmedica Community Ophthalmology - Bristol - Bristol,,,,,,350,350,160,190,0,0,0,350,0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,20,25,40,65,75,60,45,10,350,0,0,0,0,,,
ACG13,Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) (Acg13),,,,,,"3,035","3,035","1,275","1,760",0,0,0,"3,035",0,,,,,76,*,0,0,0,0,0,0,0,0,*,*,*,*,*,25,50,110,165,290,595,650,625,390,115,"3,035",0,0,0,0,,,
ACG19,Newmedica Community Ophthalmology - Leeds,,,,,,690,690,365,325,0,0,0,690,0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,15,25,55,100,155,135,135,45,20,690,0,0,0,0,,,
ACG07,Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital),,,,,,"2,445","2,445","1,045","1,400",0,0,0,"2,445",0,,,,,74,0,0,0,0,0,0,0,0,0,0,*,*,*,*,15,45,110,175,360,450,490,490,230,70,"2,445",0,0,0,0,,,
ACG09,Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre,,,,,,"1,565","1,565",690,875,0,0,0,"1,565",0,,,,,75,0,0,0,0,0,0,0,0,0,*,*,0,*,*,15,20,60,85,195,320,360,315,140,45,"1,565",0,0,0,0,,,
ACG12,Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby,,,,,,"1,195","1,195",505,685,0,0,0,"1,195",0,,,,,75,0,0,0,0,0,0,0,0,*,0,0,0,*,*,10,15,40,70,125,255,270,230,140,25,"1,195",0,0,0,0,,,
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,,,,,,"233,445","183,465","108,990","123,755",700,"58,560","73,290","33,440","18,175",59,34,4,1,58,"9,095","4,160","2,380","2,430",645,570,735,910,"1,020","6,875","9,100","9,185","7,600","6,790","9,405","11,580","17,825","15,700","20,265","27,300","23,670","19,980","15,400","9,885","92,980","348,215","16,880","2,145","7,255",,,
RMY-X,Norfolk and Suffolk NHS Foundation Trust,,,,,,"3,590","2,860","1,775","1,815",0,"1,960",805,*,95,,,55,21,46,0,0,0,20,20,20,25,65,50,385,340,335,285,300,280,315,225,195,190,220,115,115,65,20,*,"148,650",20,15,*,,,
RY3,Norfolk Community Health and Care NHS Trust,,,,,,"4,150","3,185","1,075","1,345","1,730",85,0,925,"2,180",,,22,14,72,0,0,*,95,15,35,70,25,10,185,30,40,100,15,50,80,90,110,205,295,460,635,840,750,0,"70,510",*,25,15,,,
RVJ-X,North Bristol NHS Trust,,,,,,"171,310","141,705","74,065","97,235",15,"55,470","56,785","7,620","21,830",54,28,4,1,56,"5,395",0,0,*,20,435,675,985,"1,115","7,180","11,355","12,580","10,275","7,375","7,850","10,290","12,085","10,850","12,570","15,285","13,870","12,665","10,365","7,470","52,600","359,820","20,645","1,365","9,960",,,
RNL,North Cumbria University Hospitals NHS Trust,,,,,,"89,350","79,335","41,285","48,065",*,"35,980","27,430","9,625","6,300",71,38,4,1,56,"4,560","2,565","1,140",970,285,210,285,305,370,"2,380","3,275","3,125","2,840","2,410","3,710","4,890","5,750","6,535","7,325","9,615","8,925","7,650","5,620","3,160","32,590","186,015","10,875",805,"1,080",,,
NVC11,North Downs Hospital,,,,,,"2,600","2,600","1,045","1,555",0,0,"2,600",0,0,90,56,2,2,57,0,0,0,0,0,0,0,0,10,85,105,110,120,175,215,250,275,255,270,270,225,145,70,20,"2,185",935,0,*,0,,,
RAT,North East London NHS Foundation Trust,,,,,,"3,100","2,485","1,595","1,500",*,950,40,"1,445",50,,,40,23,49,0,0,0,15,20,35,30,55,45,270,290,320,235,230,205,190,145,105,90,135,130,175,210,140,0,"93,985",25,30,*,,,
NTP15,North East London Treatment Centre Care Uk,,,,,,"8,425","7,905","3,955","4,465",*,0,"7,905",0,0,23,16,2,2,54,0,0,0,0,0,0,0,20,30,210,385,585,750,705,780,850,865,800,730,640,520,340,160,35,"7,760","1,505",0,20,0,,,
RAP,North Middlesex University Hospital NHS Trust,,,,,,"95,235","80,620","41,805","53,430",*,"35,665","20,705","12,985","11,265",60,37,4,1,48,"9,415","3,495","2,100","1,760",365,235,280,350,380,"2,880","4,100","4,750","4,150","3,700","4,400","4,995","5,565","5,600","5,545","6,150","6,720","6,645","4,945","3,215","31,655","189,795","13,315",185,"1,475",,,
RLY,North Staffordshire Combined Healthcare NHS Trust,,,,,,"2,680","2,395","1,565","1,120",0,"1,285",45,"1,015",45,,,23,5,38,0,*,140,305,90,35,55,100,60,170,230,190,200,155,155,150,125,100,80,60,70,85,75,40,0,"58,120",25,80,0,,,
RVW,North Tees and Hartlepool NHS Foundation Trust,,,,,,"122,200","95,840","55,200","67,000",0,"46,705","18,210","23,045","7,885",64,37,3,1,55,"5,795","3,145","1,550","1,255",270,270,410,475,675,"4,000","4,890","5,350","4,675","4,070","5,685","7,435","8,395","8,995","10,310","11,725","10,590","9,900","7,230","3,815","34,620","198,550","17,450","2,865","1,715",,,
RGN,North West Anglia NHS Foundation Trust,,,,,,"164,115","135,365","75,050","89,055",10,"54,790","45,065","20,945","14,565",55,40,4,1,55,"11,170","3,560","2,235","1,865",450,515,505,720,735,"4,555","6,905","7,080","6,485","5,450","6,880","8,605","9,675","10,630","12,980","16,555","14,390","13,740","10,555","7,325","54,235","308,815","15,850","4,145","2,630",,,
RTV,North West Boroughs Healthcare NHS Foundation Trust,,,,,,"3,115","2,630","1,780","1,335",0,"2,355",0,275,0,,,48,14,43,0,0,0,10,10,*,20,60,50,335,380,335,335,255,280,225,175,125,125,150,100,80,45,10,0,"99,865",15,0,0,,,
RNS,Northampton General Hospital NHS Trust,,,,,,"127,550","113,300","55,345","72,195",10,"48,585","33,520","13,880","17,320",56,40,4,1,51,"7,590","4,000","2,160","1,610",405,370,590,715,870,"5,265","7,535","7,765","6,385","5,010","5,645","7,025","7,720","8,105","9,085","10,900","9,630","8,290","6,265","4,205","39,540","269,470","18,940","3,460","8,180",,,
RP1,Northamptonshire Healthcare NHS Foundation Trust,,,,,,"2,920","2,615","1,335","1,585",*,845,10,"1,765",*,,,42,25,58,*,0,0,25,25,35,55,35,45,140,150,125,150,130,125,195,130,165,175,255,260,270,250,180,0,"117,675",10,55,0,,,
RBZ,Northern Devon Healthcare NHS Trust,,,,,,"59,810","51,615","26,850","32,960",0,"20,690","17,685","8,370","4,870",76,44,3,1,58,"2,275","1,315",990,640,165,180,195,220,250,"1,890","2,210","2,270","1,720","1,675","2,130","2,790","3,955","4,110","5,295","6,815","5,960","5,510","4,365","2,760","20,305","97,580","6,900","3,660","1,985",,,
RJL-X,Northern Lincolnshire and Goole NHS Foundation Trust,,,,,,"124,880","113,005","57,235","67,645",*,"41,650","36,335","24,835","10,185",66,30,4,2,57,"5,370","1,935","1,495","1,060",275,310,425,560,675,"4,085","5,200","5,065","4,245","3,600","5,475","6,980","8,015","8,960","10,975","13,630","12,175","11,595","7,880","4,645","53,970","260,270","10,455","2,095","1,865",,,
RX4,"Northumberland, Tyne and Wear NHS Foundation Trust",,,,,,"3,400","2,305","1,975","1,425",0,"1,880",50,365,*,19,19,104,35,45,0,0,0,40,35,55,65,45,35,245,290,340,325,295,310,290,265,180,130,145,105,100,75,25,0,"226,720",20,*,0,,,
RTF,Northumbria Healthcare NHS Foundation Trust,,,,,,"157,680","124,915","70,660","87,020",*,"60,675","34,810","22,100","7,330",38,26,4,1,60,"4,940","2,675","1,310",940,240,305,435,555,625,"3,625","4,765","5,490","5,225","5,000","7,235","8,875","12,605","11,660","14,345","17,485","16,025","14,380","11,070","7,715","50,495","288,155","26,560",745,890,,,
RX1,Nottingham University Hospitals NHS Trust,,,,,,"287,870","225,735","131,465","156,380",20,"83,585","90,740","18,830","32,585",39,14,4,1,53,"14,055","7,315","4,615","4,570","1,140","1,260","1,275","1,495","1,980","11,475","14,045","14,500","12,180","9,865","12,700","16,325","18,080","20,000","22,325","27,225","23,130","20,595","15,705","9,965","88,675","589,445","23,070","2,875","12,105",,,
RHA,Nottinghamshire Healthcare NHS Foundation Trust,,,,,,"4,280","3,415","2,345","1,925",*,"1,010",520,"1,560",320,46,14,68,23,55,0,0,0,20,20,25,35,25,55,270,305,360,300,270,225,210,185,205,215,315,275,345,330,250,0,"224,190",20,15,*,,,
NT202,"Nuffield Health, Bournemouth Hospital",,,,,,850,850,470,380,0,0,850,0,0,99,67,3,3,64,0,0,0,0,0,0,0,0,*,10,25,20,30,35,45,50,55,65,115,115,125,85,45,25,745,325,0,0,0,,,
NT204,"Nuffield Health, Brentwood Hospital",,,,,,"1,675","1,675",535,"1,140",0,0,"1,675",0,0,58,49,2,2,50,0,10,55,10,*,*,*,15,20,75,85,90,105,145,165,145,130,125,140,150,110,60,20,*,"1,045","1,500",0,0,0,,,
NT205,"Nuffield Health, Brighton Hospital",,,,,,635,635,305,330,0,0,635,0,0,117,76,3,2,57,0,0,0,0,0,0,0,0,0,15,10,15,20,20,40,45,45,25,40,40,35,15,*,*,220,"1,415",0,0,0,,,
NT206,"Nuffield Health, Bristol Hospital (Chesterfield)",,,,,,"2,200","2,200","1,040","1,160",0,0,"2,200",0,0,42,28,2,2,60,0,0,0,0,0,0,0,*,*,40,75,105,125,120,160,195,195,175,210,275,230,170,95,15,"1,855",615,0,35,0,,,
NT209,"Nuffield Health, Cambridge Hospital",,,,,,455,455,210,240,0,0,455,0,0,54,42,2,2,57,0,0,0,0,0,0,0,*,*,10,20,25,20,30,45,30,45,45,55,60,30,25,*,*,240,480,0,0,0,,,
NT211,"Nuffield Health, Cheltenham Hospital",,,,,,105,105,65,40,0,0,105,0,0,68,56,3,3,64,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,15,*,10,20,15,10,*,0,60,140,0,0,0,,,
NT212,"Nuffield Health, Chichester Hospital",,,,,,"1,235","1,235",515,720,0,0,"1,235",0,0,83,24,2,2,59,0,0,0,0,0,0,0,*,*,20,40,65,60,70,110,105,105,120,120,170,130,75,35,*,860,880,0,0,0,,,
NT213,"Nuffield Health, Derby Hospital",,,,,,"2,055","2,055",990,"1,065",0,0,"2,055",0,0,44,14,2,2,59,0,0,0,0,0,0,0,10,*,45,60,75,70,100,145,200,220,265,245,285,205,100,20,*,"1,025","2,405",0,0,0,,,
NT215,"Nuffield Health, Exeter Hospital",,,,,,195,195,95,105,0,0,195,0,0,120,42,2,1,50,0,0,0,0,0,0,0,*,0,10,15,20,15,25,10,20,20,20,15,15,10,*,*,*,110,135,0,0,0,,,
NT218,"Nuffield Health, Haywards Heath Hospital",,,,,,465,465,235,230,0,0,465,0,0,39,21,2,2,58,0,0,0,0,0,0,0,*,*,*,10,20,25,25,45,50,55,45,55,70,30,20,*,*,225,515,0,0,0,,,
NT219,"Nuffield Health, Hereford Hospital",,,,,,635,635,340,295,0,0,635,0,0,80,75,3,3,61,0,0,0,0,0,0,0,0,*,10,20,25,20,20,40,50,70,75,90,105,60,45,*,*,380,670,0,0,0,,,
NT225,"Nuffield Health, Leeds Hospital",,,,,,"4,395","4,395","1,890","2,505",0,0,"4,395",0,0,88,52,2,2,51,0,0,0,0,0,0,0,10,40,265,315,300,330,305,385,465,440,405,410,345,195,130,45,10,"3,360","1,865",0,0,0,,,
NT226,"Nuffield Health, Leicester Hospital",,,,,,"1,610","1,610",940,670,0,0,"1,610",0,0,47,35,2,2,56,0,0,0,0,0,0,0,*,10,50,50,90,80,105,135,175,170,165,200,180,105,65,25,0,"1,130","1,045",0,0,0,,,
NT229,"Nuffield Health, Newcastle Upon Tyne Hospital",,,,,,370,370,235,135,0,0,370,0,0,56,44,2,1,51,0,0,0,0,0,0,*,*,*,10,15,25,60,45,30,15,35,25,35,25,25,*,*,*,205,275,0,0,0,,,
NT230,"Nuffield Health, North Staffordshire Hospital",,,,,,"2,565","2,565","1,205","1,355",0,0,"2,565",0,0,65,53,2,2,59,0,0,0,0,0,0,0,*,*,45,55,75,115,140,185,295,350,335,330,275,230,105,25,*,"1,570","2,265",0,0,0,,,
NT233,"Nuffield Health, Plymouth Hospital",,,,,,"2,445","2,445","1,320","1,125",0,0,"2,445",0,0,62,57,2,1,54,0,0,0,0,0,0,0,*,10,115,105,125,180,160,200,270,270,240,220,240,155,60,15,*,"1,655","1,440",0,0,0,,,
NT235,"Nuffield Health, Shrewsbury Hospital",,,,,,"2,090","2,090",950,"1,140",0,0,"2,090",0,0,70,45,3,3,67,0,0,0,0,0,0,0,*,*,20,20,30,35,50,100,130,170,190,255,355,345,255,115,20,"1,805",780,0,0,0,,,
NT238,"Nuffield Health, Taunton Hospital",,,,,,880,880,400,480,0,0,880,0,0,73,58,3,3,61,0,0,0,0,0,0,0,*,*,15,35,25,25,30,55,75,105,100,110,115,85,70,20,*,545,910,0,0,0,,,
NT237,"Nuffield Health, Tees Hospital",,,,,,"3,790","3,790","1,775","2,015",0,0,"3,790",0,0,53,47,2,2,68,0,0,0,0,0,0,0,*,*,10,40,50,50,75,135,200,250,340,515,730,660,490,195,40,"2,990","1,535",0,0,0,,,
NT210,"Nuffield Health, The Grosvenor Hospital, Chester",,,,,,665,665,320,345,0,0,665,0,0,53,37,2,2,57,0,0,0,0,0,0,0,0,*,10,20,20,35,45,55,80,75,80,85,85,50,15,*,0,305,870,0,0,0,,,
NT239,"Nuffield Health, Tunbridge Wells Hospital",,,,,,715,715,350,365,0,0,715,0,0,92,63,2,2,59,0,0,0,0,0,0,0,*,*,10,20,20,25,40,80,70,85,80,60,110,60,30,10,*,580,310,0,0,0,,,
NT224,"Nuffield Health, Warwickshire Hospital",,,,,,665,665,300,365,0,0,665,0,0,68,57,2,2,61,0,0,0,0,0,0,0,0,*,10,15,15,20,30,50,70,80,80,85,95,60,40,10,*,345,765,0,0,0,,,
NT214,"Nuffield Health, Wessex Hospital",,,,,,"1,110","1,110",480,635,0,0,"1,110",0,0,66,50,3,3,60,0,0,0,0,0,0,0,0,*,15,30,40,55,55,70,100,120,115,160,145,110,70,20,*,650,"1,210",0,0,0,,,
NT241,"Nuffield Health, Woking Hospital",,,,,,505,505,190,315,0,0,505,0,0,144,69,2,1,64,0,0,0,0,0,0,0,0,*,*,*,*,10,30,40,40,20,50,80,90,55,45,15,*,490,25,0,0,0,,,
NT242,"Nuffield Health, Wolverhampton Hospital",,,,,,"2,985","2,985","1,300","1,680",0,0,"2,985",0,0,80,61,2,3,69,0,0,0,0,0,0,0,*,*,15,20,25,60,55,115,170,180,250,365,470,490,465,230,65,"2,555","1,040",0,0,0,,,
NT245,"Nuffield Health, York Hospital",,,,,,850,850,375,475,0,0,850,0,0,52,42,3,3,63,0,0,0,0,0,0,0,0,*,10,15,15,30,25,45,95,90,85,115,130,125,45,20,*,370,"1,240",0,10,0,,,
NHW02,Nuffield Hospital (Standard Health),,,,,,35,35,*,25,0,0,0,35,0,,,,,66,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,*,*,*,*,*,*,0,35,0,0,0,0,,,
NT244,Nuffield Hospital Oxford (The Manor),,,,,,170,170,70,100,0,0,170,0,0,76,70,4,4,60,0,0,0,0,0,0,0,0,*,*,*,*,*,10,10,15,10,20,25,25,15,15,*,*,45,460,0,0,0,,,
NEY14,Oaklands Hospital,,,,,,190,160,95,100,0,0,140,0,20,,,0,0,55,0,0,0,0,0,0,0,0,0,0,*,*,10,30,20,30,30,15,15,10,15,*,*,0,0,"27,760",0,95,0,,,
NVC12,Oaklands Hospital,,,,,,"6,005","6,005","2,810","3,195",*,0,"6,005",0,0,58,27,2,2,50,0,0,0,0,0,0,0,20,35,265,425,445,545,530,610,675,640,480,405,385,290,145,40,15,"5,280","1,620",0,0,0,,,
NVC13,Oaks Hospital,,,,,,"1,555","1,555",660,890,0,0,"1,555",0,0,109,49,4,3,58,0,*,*,*,0,0,0,*,*,35,45,50,80,105,120,155,135,160,185,220,135,85,25,10,"1,470",325,0,0,0,,,
NY6D2,Oasis Health Care,,,,,,10,10,*,10,0,0,10,0,0,,,,,63,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,*,*,0,*,0,*,*,*,0,10,0,0,0,0,,,
NXP02,Old Town Surgery,,,,,,50,50,20,30,0,0,50,0,0,,,,,57,0,0,0,0,0,0,0,0,0,*,0,*,*,*,*,*,*,*,*,*,*,*,*,0,50,0,0,0,0,,,
AVQ01,One Ashford Hospital,,,,,,"1,110","1,110",545,565,0,0,"1,110",0,0,36,22,2,3,58,0,0,0,0,0,0,0,*,*,35,35,45,40,65,75,110,130,110,130,170,95,50,15,0,680,"1,045",0,0,0,,,
AVQ03,One Hatfield Hospital,,,,,,*,*,0,*,0,0,*,0,0,63,63,4,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,*,0,0,0,,,
NTX51,One Health Group - Barlborough Treatment Centre,,,,,,280,280,125,150,0,0,280,0,0,131,80,,,54,0,0,0,0,0,0,0,*,*,*,*,15,25,20,30,35,30,30,35,20,15,10,0,0,275,*,0,0,0,,,
NTX12,One Health Group Clinic - Claremont,,,,,,"1,115","1,115",445,670,0,*,"1,110",*,0,58,42,1,1,52,0,0,0,0,0,0,0,*,10,55,50,60,75,95,150,120,130,95,110,85,45,30,*,0,"1,110",*,0,0,0,,,
NTX09,One Health Group Clinic - Gainsborough,,,,,,255,255,100,155,0,0,255,0,0,127,58,,,58,0,0,0,0,0,0,0,0,0,*,*,15,15,20,20,35,25,25,20,30,15,15,10,0,255,0,0,0,0,,,
NTX06,One Health Group Clinic - Osset,,,,,,200,200,105,95,0,0,200,0,*,82,33,,,57,0,0,0,0,0,0,0,0,0,0,*,10,20,15,15,20,25,35,20,20,10,10,*,0,200,*,0,0,0,,,
NTX11,One Health Group Clinic - Thornbury,,,,,,"3,120","3,120","1,400","1,720",0,*,"3,110",10,0,114,61,2,2,54,0,0,0,0,0,0,0,10,15,75,130,155,195,235,375,380,385,350,285,280,140,80,25,0,"3,100",20,0,0,0,,,
NTX01,One Health Group Ltd,,,,,,"1,235","1,235",610,625,0,0,"1,225",10,0,83,54,2,2,53,0,0,0,0,0,0,0,*,*,25,55,90,110,100,155,135,145,115,110,95,65,30,*,0,"1,230",15,0,0,0,,,
NNH05,Optegra (Birmingham Eye Hospital),,,,,,"1,145","1,145",465,680,0,0,0,"1,145",0,,,,,74,0,0,0,0,0,0,0,0,0,0,*,0,*,*,10,25,40,100,155,235,250,215,95,20,"1,145",0,0,0,0,,,
NNH04,Optegra (Manchester Eye Hospital),,,,,,"5,260","5,260","2,025","3,235",0,0,0,"5,260",0,,,,,78,0,0,0,0,0,0,0,0,0,*,*,*,10,20,40,60,110,205,370,815,985,"1,150","1,015",460,"5,260",0,0,0,0,,,
NNH06,Optegra (Solent Eye Hospital),,,,,,125,125,60,60,0,0,0,125,0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,20,40,35,*,*,125,0,0,0,0,,,
NNH03,Optegra (Surrey Eye Hospital),,,,,,190,190,65,125,*,0,0,190,0,,,,,77,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,10,15,25,45,45,25,10,190,0,0,0,0,,,
NNH07,Optegra London Eye Hospital,,,,,,965,965,405,565,*,0,0,965,0,,,,,71,0,0,0,0,0,0,0,*,0,*,*,*,10,*,10,25,50,135,145,205,160,125,60,35,965,0,0,0,0,,,
NNH02,Optegra Yorkshire Eye Hospital,,,,,,"1,540","1,540",625,910,0,0,0,"1,540",0,,,,,74,0,0,0,0,0,0,0,0,*,*,*,10,*,10,15,40,50,95,170,295,305,280,180,70,"1,540",0,0,0,0,,,
NQM01,Orthopaedics & Spine Specialist Hospital Site,,,,,,470,430,195,270,0,0,430,0,0,,,,,59,0,0,0,0,0,0,0,0,0,10,*,10,25,30,45,45,50,60,60,55,40,25,10,*,245,0,0,0,0,,,
