RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,,,,,,"153,455","132,090","66,400","86,970",80,"48,965","48,545","16,830","17,750",77,43,4,1,52,"6,975","4,300","2,750","2,190",520,445,660,790,995,"6,345","9,505","9,315","7,210","5,470","7,000","8,375","10,135","9,915","10,995","13,595","12,550","10,985","7,645","4,315","54,585","325,425","16,650","3,300","8,545"
NXP20,LAWN MEDICAL CENTRE,,,,,,125,125,40,85,0,0,125,0,0,14,14,,,57,0,0,0,0,0,0,0,0,0,0,*,*,10,15,15,20,10,10,10,10,10,10,0,*,125,0,0,0,0
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,,,,,,"1,680","1,260",980,695,*,850,25,285,105,,,74,27,43,0,0,0,10,10,*,10,45,45,200,205,195,165,130,130,100,70,60,65,65,55,45,35,20,0,"92,815",10,*,0
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,,,,,,105,105,55,50,0,0,0,105,0,,,11,11,59,0,0,0,0,0,0,0,0,0,0,*,*,*,10,10,15,15,10,*,10,*,10,*,*,0,"1,105",0,0,0
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,,,,,,"229,060","187,795","109,100","119,950",10,"73,930","69,315","23,190","21,360",56,34,6,2,50,"13,030","8,175","6,785","6,185","1,570","1,455","1,115","1,265","1,390","8,065","10,180","11,365","10,220","8,785","10,290","12,880","14,340","15,200","15,610","18,875","16,770","15,365","11,470","7,320","68,455","671,970","16,040","3,625","3,540"
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,,,,,,"9,010","5,975","4,460","4,550",0,"5,095",50,705,125,2,2,36,19,61,0,0,0,25,20,20,20,45,60,590,490,515,435,420,445,395,485,375,450,630,760,965,990,845,25,"211,380",20,*,0
RJ2,LEWISHAM AND GREENWICH NHS TRUST,,,,,,"171,965","138,680","70,720","101,235",15,"60,860","45,430","6,260","26,130",49,20,4,1,49,"14,315","5,070","3,340","2,465",545,555,675,665,955,"6,265","9,055","12,220","10,430","7,205","6,870","8,250","12,035","9,955","9,665","11,280","10,960","11,400","9,600","7,125","47,365","373,915","22,845",590,"9,125"
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,,,,,,"1,815","1,815","1,030",785,0,65,0,"1,585",160,,,16,12,71,0,0,0,0,0,0,*,0,0,*,20,15,30,10,10,110,150,210,285,150,280,200,205,140,"1,440","5,850",10,*,*
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,,,,,,110,90,40,65,0,70,*,*,15,342,342,54,25,43,0,0,0,*,*,*,*,0,*,10,*,10,15,10,10,*,10,*,*,*,*,*,*,0,0,"4,880",*,0,0
NW603,LISTER HOSPITAL,,,,,,*,*,*,*,0,0,*,0,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,*,0
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,,,,,,"14,735","13,630","9,520","5,215",0,"2,480","7,355","1,405","2,385",39,26,6,3,64,0,0,0,0,0,15,25,40,45,255,285,280,310,325,635,"1,045","1,620","1,710","2,005","2,355","1,870","1,275",470,135,"4,545","53,995",430,325,670
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"269,245","202,700","132,160","137,075",15,"101,945","62,275","37,715",765,57,27,4,1,60,0,45,485,205,45,585,870,"1,400","1,725","9,270","10,275","11,350","11,680","11,490","14,965","18,760","25,065","24,625","25,030","28,350","24,335","23,460","16,080","8,805","86,970","555,885","44,060",985,75
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,,,,,,"41,275","41,150","4,165","37,105",*,"1,395","7,895","1,625","30,235",30,17,1,1,26,"7,945",0,0,*,20,80,200,420,600,"4,880","7,490","8,030","4,260","1,350",650,595,560,340,310,270,175,100,65,10,"7,960","47,315",185,245,"15,010"
NR501,LIVEWELL SOUTHWEST,,,,,,800,770,365,435,0,*,130,0,635,6,4,25,21,80,0,0,0,0,0,0,0,0,0,*,0,*,*,0,*,10,20,25,40,100,120,180,180,115,0,"19,560",0,*,0
NDAJ0,LIVINGSTONE COMMUNITY HOSPITAL,,,,,,345,345,120,225,0,*,0,50,290,,,20,18,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,10,15,40,40,60,105,70,0,"6,845",0,0,0
NW605,LONDON BRIDGE HOSPITAL,,,,,,10,10,0,10,0,0,10,0,0,,,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,,,,,,"241,270","181,420","116,340","124,920",10,"78,990","49,855","36,880","15,700",42,21,4,1,56,"7,030","3,170","2,365","1,965",465,590,895,"1,005","1,145","8,295","11,555","12,975","12,245","10,995","11,805","13,500","20,860","16,465","16,370","18,700","19,215","20,920","16,670","10,820","77,680","432,295","33,315","1,795","5,345"
RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,,,,,,"144,355","121,625","60,130","84,220",*,"50,580","30,820","14,535","25,690",55,33,3,1,49,"9,570","3,920","2,445","2,105",465,545,765,795,730,"6,035","10,180","11,025","8,185","5,815","5,840","7,065","9,850","7,890","8,400","9,705","10,005","10,145","7,120","4,865","38,770","248,740","19,180","2,135","14,390"
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,,,,,,"141,480","124,675","63,305","78,140",30,"58,285","43,550","10,665","12,175",64,40,3,1,55,"8,445","2,050","1,490","1,275",325,560,655,755,725,"4,425","5,685","6,775","6,240","5,320","6,345","7,570","12,185","8,700","9,275","12,965","11,995","11,540","9,325","6,540","47,015","267,310","26,640",980,"2,160"
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,,,,,,"373,215","310,735","172,015","201,175",30,"101,585","108,455","57,855","42,840",60,34,4,1,45,"23,590","17,495","14,690","13,155","2,850","2,350","2,055","1,865","2,180","14,235","20,240","22,620","19,160","14,405","16,385","19,895","22,310","23,695","24,410","25,735","22,895","19,685","13,505","7,990","136,615","805,375","38,615","5,035","11,245"
RPA,MEDWAY NHS FOUNDATION TRUST,,,,,,"105,305","82,105","46,370","58,930",*,"40,340","22,050","9,010","10,710",62,37,4,1,52,"7,865","2,845","1,775","1,360",325,345,440,480,500,"3,430","5,180","5,180","4,610","3,775","4,200","5,375","6,450","6,525","7,530","9,620","8,420","8,255","6,190","4,310","25,975","215,355","15,230",785,"1,950"
RW4,MERSEY CARE NHS FOUNDATION TRUST,,,,,,"3,545","2,865","1,955","1,590",0,"1,605",135,830,300,5,1,46,17,45,0,0,0,0,0,0,*,30,55,215,300,325,335,385,415,340,255,145,130,115,65,65,45,10,0,"145,005",20,10,*
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,,,,,,"97,670","84,085","42,910","54,755",0,"38,535","31,655","3,415","10,485",36,21,4,1,55,"4,930","2,035","1,065",965,230,255,350,465,580,"3,690","5,045","4,870","3,870","3,115","3,815","5,020","8,435","5,910","6,650","8,660","8,635","8,425","6,100","4,125","31,860","182,785","17,440",945,"5,115"
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,,,,,,"101,730","83,730","46,300","55,425",0,"39,355","30,375","4,140","9,860",71,33,4,1,55,"5,840","2,010","1,260","1,005",250,350,365,460,545,"3,115","4,680","5,260","4,505","3,565","4,350","5,370","5,555","5,780","6,890","9,530","9,060","8,850","7,285","5,255","28,340","214,625","11,480",950,"1,515"
RXF-X,MID YORKSHIRE HOSPITALS NHS TRUST,,,,,,"198,695","156,850","85,930","112,760",*,"60,975","49,565","22,665","23,645",49,30,4,1,54,"9,270","3,900","2,790","2,365",555,730,810,930,"1,185","8,070","11,420","10,500","8,115","6,500","8,490","10,690","12,630","13,215","14,380","18,655","17,235","16,450","11,700","7,555","65,370","367,900","20,340",995,"10,540"
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,,,,,,"8,660","7,970","3,430","5,230",*,"2,710","1,445","2,895",920,57,33,35,15,64,0,0,0,*,*,*,*,45,40,255,330,385,400,345,380,515,530,665,625,850,880,980,835,575,"3,740","134,080",550,*,10
NXP43,MILLSTREAM HOUSE,,,,,,160,160,75,85,0,0,160,0,0,29,30,,,59,0,0,0,0,0,0,0,0,0,*,*,*,*,10,15,20,25,15,30,20,10,*,*,0,160,0,0,0,0
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,,,,,,"91,900","69,175","41,015","50,885",*,"27,760","19,410","12,050","9,955",55,33,4,1,53,"5,825","3,400","1,965","1,440",350,245,285,370,440,"2,570","3,995","4,765","3,815","3,430","3,795","4,495","5,085","6,045","6,800","8,460","7,755","6,515","5,360","4,295","28,040","187,035","6,465",430,"2,535"
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,,,,,,"38,185","38,185","18,270","19,910",*,"2,725","35,430",30,*,51,42,0,,63,35,355,345,260,60,110,120,130,100,625,835,865,880,955,"1,445","2,120","3,050","3,895","4,830","5,515","4,835","4,005","1,990",675,"34,265","1,725","2,525",505,0
NR527,MOUNT GOULD HOSPITAL,,,,,,85,80,45,40,0,0,*,0,80,14,14,65,48,58,0,0,0,0,0,0,*,0,*,*,*,*,*,*,*,*,10,15,10,*,*,10,*,*,0,"5,330",0,0,0
NVC08,MOUNT STUART HOSPITAL,,,,,,"4,305","4,305","1,715","2,585",*,0,"4,305",0,0,105,63,2,2,58,0,0,0,0,0,0,0,*,25,150,200,195,235,230,335,375,330,330,480,535,405,305,135,20,"3,480","1,975",0,0,0
NVC09,NEW HALL HOSPITAL,,,,,,"5,965","5,965","2,675","3,285",*,0,"5,965",0,0,170,43,3,2,58,0,0,0,0,0,0,0,15,15,120,195,270,375,390,500,555,550,610,625,735,555,310,110,25,"4,230","4,400",0,0,0
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,,,,,,"2,715","2,715","1,110","1,605",0,0,0,"2,715",0,,,,,74,0,0,0,0,0,0,0,0,0,*,*,*,10,20,20,40,100,170,310,565,585,525,280,75,"2,715",0,0,0,0
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,,,,,,"1,370","1,370",605,765,0,0,0,"1,370",0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,*,*,10,10,25,45,105,180,285,315,250,115,30,"1,370",0,0,0,0
ACG13,NEWMEDICA COMMUNITY OPHTHALMOLOGY - GLOUCESTERSHIRE - GLOUCESTER (ASPEN CENTRE) (ACG13),,,,,,"4,320","4,320","1,860","2,460",0,0,0,"4,320",0,,,,,75,0,0,0,0,0,0,0,0,0,*,*,*,15,20,25,90,165,235,420,790,"1,005",890,505,150,"4,320",0,0,0,0
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,,,,,,"1,940","1,940",840,"1,100",0,0,0,"1,940",0,,,,,74,0,0,0,0,0,0,0,0,0,0,*,*,10,10,15,45,85,150,195,435,425,340,190,35,"1,940",0,0,0,0
ACG07,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEICESTERSHIRE - LEICESTER (STONEYGATE EYE HOSPITAL),,,,,,"2,655","2,655","1,160","1,495",0,0,0,"2,655",0,,,,,74,0,0,0,0,0,0,0,0,0,0,0,*,*,10,20,70,120,230,365,500,530,455,270,75,"2,655",0,0,0,0
ACG09,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH DERBYSHIRE - BARLBOROUGH TREATMENT CENTRE,,,,,,"2,795","2,795","1,170","1,625",0,0,0,"2,795",0,,,,,74,0,0,0,0,0,0,0,0,*,*,*,*,*,*,20,60,105,195,340,550,685,505,250,65,"2,795",0,0,0,0
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,,,,,,"1,970","1,970",875,"1,095",0,0,0,"1,970",0,,,,,75,0,0,0,0,0,0,0,0,0,0,0,*,*,*,10,35,50,125,220,460,420,390,195,55,"1,970",0,0,0,0
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,,,,,,"3,755","3,755","1,645","2,115",0,0,0,"3,755",0,,,,,77,0,0,0,0,0,0,0,0,0,0,*,*,*,25,40,65,150,240,340,505,685,790,595,315,"3,755",0,0,0,0
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,,,,,,"237,505","183,710","112,240","125,260",*,"58,180","72,155","35,450","17,925",62,30,4,1,58,"8,985","4,520","2,475","2,540",575,580,630,760,965,"6,590","8,940","9,000","7,390","6,730","8,885","11,465","18,630","15,995","20,545","27,595","25,350","20,835","15,835","10,770","95,355","359,170","16,360","1,970","7,545"
RMY-X,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,,,,,,"3,910","2,965","1,955","1,955",0,"1,960",905,0,100,,,56,22,46,0,0,0,25,20,20,30,65,55,390,395,350,370,295,360,315,255,190,205,190,170,110,85,20,0,"157,140",30,*,0
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,,,,,,"4,275","3,445",0,0,"4,275",70,0,890,"2,485",,,21,13,72,0,0,10,110,15,30,40,30,15,145,60,40,65,65,45,50,60,115,255,345,580,645,790,755,0,"70,490",0,10,10
RVJ-X,NORTH BRISTOL NHS TRUST,,,,,,"177,920","146,835","78,560","99,350",10,"59,160","57,735","8,425","21,515",56,27,4,1,56,"5,795",*,*,*,10,425,780,965,"1,305","7,640","11,065","12,810","10,400","7,815","8,295","10,550","12,925","11,010","13,115","15,455","14,990","13,445","10,785","7,605","55,260","365,405","23,820","1,275","9,825"
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,,,,,,"93,440","83,270","43,675","49,760",*,"34,870","29,465","11,920","7,015",86,42,6,2,57,"4,505","2,460","1,215","1,085",240,220,250,320,345,"2,330","3,240","3,315","3,195","2,540","3,765","5,130","6,070","7,280","8,010","10,445","9,850","8,285","5,825","3,345","36,930","261,095","10,170",865,"1,070"
NVC11,NORTH DOWNS HOSPITAL,,,,,,"1,955","1,955",780,"1,175",0,0,"1,955",0,0,91,54,2,2,58,0,0,0,0,0,0,0,0,10,45,70,70,120,120,170,195,180,210,215,205,170,105,40,20,"1,645",775,0,*,0
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,,,,,,"5,475","2,990","3,020","2,450",0,"1,295",85,"1,570",45,,,38,21,44,0,*,0,35,35,50,75,90,100,640,650,680,515,375,370,385,235,160,170,170,165,200,175,150,0,"158,980",120,25,0
NTP15,NORTH EAST LONDON TREATMENT CENTRE CARE UK,,,,,,"9,035","8,450","4,210","4,825",0,0,"8,450",0,0,25,18,2,2,53,0,0,0,0,0,0,0,20,40,285,450,670,785,795,840,850,945,785,770,745,510,355,150,35,"8,305","1,310",0,35,0
NMG77,NORTH KIRKLEES MSK SERVICE,,,,,,15,15,*,10,0,0,15,0,0,34,33,,,62,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,*,*,0,*,*,0,15,0,0,0,0
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,,,,,,"92,395","77,520","41,075","51,320",*,"33,085","20,095","13,140","11,200",46,29,4,2,48,"9,235","3,220","2,160","1,775",360,250,280,315,425,"2,715","4,000","4,660","3,970","3,580","4,020","4,885","5,530","5,445","5,395","6,205","6,225","6,200","4,795","2,885","31,530","194,755","11,205",195,"1,535"
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,,,,,,"2,530","2,195","1,430","1,100",0,"1,265",35,860,35,,,34,4,39,0,0,140,280,85,70,45,35,25,175,185,165,210,150,145,130,110,95,95,65,85,85,80,50,0,"53,890",35,75,*
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,,,,,,"120,290","93,415","53,825","66,470",0,"45,615","18,550","21,625","7,625",68,33,3,1,56,"5,350","2,680","1,455","1,260",290,275,335,500,585,"3,675","4,725","4,985","4,500","4,125","5,210","7,190","8,460","9,300","10,415","11,925","10,645","10,090","7,190","3,885","34,525","198,010","17,400","1,910","1,700"
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,,,,,,"167,915","137,820","78,425","89,465",25,"59,680","41,405","20,325","16,410",63,37,4,1,53,"14,170","4,815","2,680","2,225",530,565,570,640,655,"4,340","6,500","7,265","5,920","5,400","6,695","8,120","10,155","11,055","12,820","16,045","14,805","13,655","10,340","7,475","53,615","337,040","19,795","1,755","2,980"
RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,,,,,,"3,040","2,475","1,760","1,275",0,"2,235",0,240,0,,,49,20,45,0,0,0,0,0,0,*,45,50,275,340,350,370,240,280,205,185,115,135,135,125,90,60,15,*,"103,740",*,0,0
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,,,,,,"131,305","114,640","57,820","73,485",*,"49,915","34,400","13,960","16,365",49,25,4,1,52,"7,105","3,700","2,000","1,710",430,440,560,740,785,"4,940","7,375","7,675","6,050","5,030","5,585","6,995","7,840","8,485","9,235","12,065","10,700","9,270","7,225","4,970","40,475","272,745","20,810","4,070","7,475"
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,,,,,,"2,890","2,640","1,310","1,580",0,780,10,"1,815",35,,,41,24,59,0,0,0,35,20,35,40,35,35,145,135,150,125,105,140,170,145,145,185,260,270,290,255,160,0,"110,780",*,45,*
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,,,,,,"60,980","52,160","27,885","33,095",0,"20,215","18,060","9,170","4,720",61,35,3,1,58,"2,315","1,160",855,635,140,170,180,265,275,"1,780","2,460","2,375","1,915","1,680","2,185","3,060","4,055","4,040","5,210","6,870","6,355","5,655","4,350","2,825","22,955","98,510","6,245","2,230","1,885"
RJL-X,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,,,,,,"122,690","111,605","56,050","66,640",0,"42,520","34,475","24,710","9,900",53,28,4,2,57,"5,370","1,850","1,440","1,135",260,335,380,500,670,"3,970","5,455","4,970","4,040","3,760","5,035","6,730","7,895","8,885","10,520","13,165","12,140","11,205","7,710","5,005","52,605","254,540","11,655","2,190","1,695"
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,,,,,,"180,435","144,760","78,765","101,665",*,"70,450","40,040","27,345","6,925",33,23,3,1,59,"4,960","2,800","1,390","1,205",295,405,655,800,870,"5,210","6,590","7,490","6,800","6,120","8,245","9,730","13,615","13,225","16,040","19,910","17,555","15,395","12,435","8,480","60,805","288,945","35,645",615,780
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,,,,,,"307,715","245,290","138,925","168,745",45,"86,795","104,005","21,405","33,085",40,15,4,1,53,"14,570","6,700","4,785","4,490","1,050","1,250","1,440","1,555","1,890","11,440","15,265","15,825","13,455","10,950","14,105","17,460","20,175","21,155","24,010","29,710","25,685","22,385","16,330","10,170","105,660","610,945","25,800","2,660","13,040"
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,,,,,,"4,175","2,830","2,085","2,090",0,840,385,"1,345",260,1,1,57,25,57,0,0,0,40,30,35,45,30,40,265,255,285,205,245,205,200,205,190,235,315,310,330,320,315,*,"168,020",15,20,*
NQH25,NOVUS HEALTH (SANDAL CASTLE MEDICAL CENTRE),,,,,,455,455,180,275,0,0,455,0,0,56,31,,,60,0,0,0,0,0,0,0,0,0,0,15,15,20,20,50,55,55,35,45,60,35,30,15,*,455,0,0,0,0
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",,,,,,835,835,440,395,0,0,835,0,0,91,50,3,3,64,0,0,0,0,0,0,0,*,*,10,20,25,35,40,40,45,55,90,90,135,110,65,45,20,725,275,0,0,0
NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",,,,,,"1,280","1,280",350,930,0,0,"1,280",0,0,49,44,2,2,52,0,0,0,0,0,0,0,*,*,50,65,90,80,150,165,160,100,100,80,120,65,40,10,0,820,"1,110",0,0,0
NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",,,,,,600,600,320,280,0,0,600,0,0,117,64,3,2,58,0,0,0,0,0,0,0,0,*,10,*,10,15,20,30,30,45,45,35,45,25,15,*,*,160,"1,375",0,0,0
NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",,,,,,"1,925","1,925",860,"1,065",0,0,"1,925",0,*,53,32,2,1,57,0,0,0,0,0,0,0,*,*,45,90,95,120,125,160,205,205,170,210,205,140,95,50,15,"1,555",600,0,35,*
NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",,,,,,470,470,205,265,0,0,470,0,0,48,42,2,2,59,0,0,0,0,0,0,0,*,0,10,15,20,20,20,30,30,50,55,65,70,55,20,*,*,235,510,0,0,0
NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",,,,,,150,150,100,50,0,0,150,0,0,71,55,3,3,61,0,0,0,0,0,0,0,0,0,*,*,*,*,*,10,10,20,20,20,30,15,*,*,0,75,195,0,0,0
NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",,,,,,"1,365","1,365",525,840,0,0,"1,365",0,0,86,33,2,3,60,0,0,0,0,0,0,0,*,*,25,45,50,85,60,80,140,120,130,125,195,145,100,45,10,930,"1,030",0,0,0
NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",,,,,,"1,925","1,925",945,975,0,0,"1,925",0,0,43,20,2,2,60,0,0,0,0,0,0,0,*,10,35,40,65,75,75,120,190,215,220,230,305,215,90,30,*,890,"2,345",0,15,0
NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",,,,,,165,165,90,75,0,0,165,0,0,63,38,1,1,54,0,0,0,0,0,0,0,0,0,*,10,*,20,20,15,10,10,15,20,20,10,*,*,0,85,105,0,0,0
NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",,,,,,485,485,265,220,0,0,485,0,0,43,25,2,2,57,0,0,0,0,0,*,0,*,*,10,10,20,25,30,40,55,65,45,60,55,35,25,*,*,230,505,0,0,0
NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",,,,,,575,575,345,235,0,0,575,0,0,82,80,3,3,62,0,0,0,0,0,0,0,*,*,*,15,10,15,20,35,50,60,65,95,95,70,30,10,*,340,610,0,0,0
NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",,,,,,"3,665","3,665","1,595","2,070",0,0,"3,665",0,0,85,47,2,2,51,0,0,0,0,0,0,0,15,30,220,235,295,270,265,310,360,400,300,315,310,205,85,40,*,"2,740","1,725",0,0,0
NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",,,,,,970,970,540,430,0,0,970,0,0,60,54,2,2,57,0,0,0,0,0,0,0,*,*,25,45,50,35,55,70,90,100,120,110,130,90,40,10,*,605,825,0,0,0
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",,,,,,345,345,205,145,0,0,345,0,0,50,43,2,2,55,0,0,0,0,0,0,*,*,*,10,15,15,40,35,20,20,25,30,35,50,25,20,10,*,190,275,0,*,0
NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",,,,,,"2,270","2,270","1,035","1,235",0,0,"2,270",0,0,62,53,2,2,59,0,0,0,0,0,0,0,0,*,40,50,45,75,120,180,260,310,320,275,285,185,85,35,*,"1,350","1,895",0,0,0
NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",,,,,,"2,425","2,425","1,320","1,105",0,0,"2,425",0,0,65,64,2,2,54,0,0,0,0,0,0,0,10,10,80,120,140,165,170,190,250,250,240,265,220,150,65,20,*,"1,530","1,850",0,0,0
NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",,,,,,"2,060","2,060",910,"1,150",0,0,"2,060",0,0,72,49,3,3,68,0,0,0,0,0,0,0,0,*,15,25,25,40,40,70,115,135,170,240,370,395,250,130,35,"1,810",655,0,0,0
NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",,,,,,830,830,385,445,0,0,830,0,0,65,58,3,3,62,0,0,0,0,0,0,0,*,*,10,15,15,25,30,45,65,90,105,130,140,90,50,15,*,460,940,0,0,0
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",,,,,,"3,790","3,790","1,740","2,050",0,0,"3,790",0,0,55,46,2,2,67,0,0,0,0,0,0,0,*,*,40,50,60,85,90,140,210,285,325,510,660,615,475,190,45,"2,795","1,890",0,0,0
NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",,,,,,865,865,275,590,0,0,865,0,0,67,32,2,2,53,0,0,0,0,0,0,0,0,0,10,40,55,80,85,75,110,105,85,75,75,50,20,*,0,415,"1,075",0,0,0
NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",,,,,,340,340,170,165,0,0,340,0,0,56,42,2,1,56,0,0,0,0,0,0,0,0,*,10,15,25,20,20,30,20,40,30,40,45,15,20,*,*,275,125,0,0,0
NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",,,,,,525,525,240,285,0,0,525,0,0,62,44,2,2,62,0,0,0,0,0,0,0,*,*,*,10,10,20,15,35,50,65,60,60,80,65,30,15,*,250,560,0,0,0
NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",,,,,,870,870,390,475,0,0,870,0,0,65,59,3,3,60,0,0,0,0,0,0,0,*,*,10,15,20,40,35,60,95,90,100,135,130,75,40,*,*,405,"1,175",0,0,0
NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",,,,,,405,405,140,265,0,0,405,0,0,126,52,3,3,63,0,0,0,0,0,0,0,0,0,*,0,10,15,20,35,50,30,50,45,60,45,45,*,*,390,40,0,0,0
NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",,,,,,"3,035","3,035","1,315","1,725",0,0,"3,035",0,0,73,61,2,2,70,0,0,0,0,0,0,0,0,*,10,15,30,45,45,125,145,180,275,365,455,540,505,240,55,"2,675",815,0,0,0
NT245,"NUFFIELD HEALTH, YORK HOSPITAL",,,,,,645,645,285,360,0,0,645,0,0,59,54,3,2,63,0,0,0,0,0,0,*,*,*,10,10,10,10,30,25,55,70,70,110,110,70,45,10,*,260,965,0,*,0
NHW02,NUFFIELD HOSPITAL (STANDARD HEALTH),,,,,,25,25,15,10,0,0,0,25,0,,,,,67,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,*,*,*,*,*,*,0,25,0,0,0,0
NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),,,,,,205,205,85,115,0,0,205,0,0,78,75,3,3,56,0,0,0,0,0,0,0,*,*,*,10,10,10,15,15,20,25,15,35,25,15,*,0,0,75,410,0,0,0
NEY14,OAKLANDS HOSPITAL,,,,,,185,85,75,110,0,0,85,0,0,,,1,,54,0,0,0,0,0,0,0,0,0,*,*,15,15,20,25,15,20,15,15,15,15,10,*,0,0,"20,820",0,75,0
NVC12,OAKLANDS HOSPITAL,,,,,,"6,615","6,615","3,120","3,490",*,0,"6,615",0,0,76,36,2,2,49,0,0,0,0,0,0,0,25,40,325,510,565,690,590,695,725,645,525,405,395,265,140,40,15,"5,850","1,615",0,0,0
NVC13,OAKS HOSPITAL,,,,,,605,605,325,280,0,0,605,0,0,105,67,2,2,58,0,0,0,0,0,0,0,*,*,20,25,10,30,40,50,55,55,65,60,65,65,30,20,*,540,160,0,0,0
